employee_id,fullname,name_department,name_position,final_match_rate,match_category
EMP100675,Fajar Permadi,IT,HRBP,43.25,Low Fit
EMP100361,Eko Baskara Ananda,HR,Finance Officer,30.5,Low Fit
EMP100631,Zahra Dharma Zulfikar,R&D,HRBP,39.5,Low Fit
EMP100406,Vania Lestari Subekti,IT,HRBP,29.5,Low Fit
EMP100104,Budi Pratama,IT,HRBP,34.5,Low Fit
EMP101636,Rizka Aji Putra,IT,Data Analyst,26.75,Low Fit
EMP101898,Joko Candra Purnama,Marketing,Data Analyst,3.0,Low Fit
EMP101822,Nadia Anugrah Lestari,IT,Data Analyst,32.75,Low Fit
EMP101830,Umar Setiawan,HR,Sales Supervisor,27.0,Low Fit
EMP101961,Indra Kusuma Purnama,HR,Supply Planner,30.25,Low Fit
EMP100893,Nabila Maulida,R&D,HRBP,7.25,Low Fit
EMP101658,Yoga Halim Wijaya,Marketing,Supply Planner,2.25,Low Fit
EMP100161,Wulan Saputra Pratama,IT,Supply Planner,34.75,Low Fit
EMP101375,Lestari Salsabila,Finance,Finance Officer,9.0,Low Fit
EMP100944,Adit Utama Wijaya,Finance,Supply Planner,40.75,Low Fit
EMP101749,Novi Adi Subekti,IT,HRBP,28.0,Low Fit
EMP100784,Rendra Yulianto,Finance,Finance Officer,35.25,Low Fit
EMP100906,Oka Salsabila,Marketing,Data Analyst,1.75,Low Fit
EMP100170,Dinda Wijaya Zulfikar,Marketing,Brand Executive,3.0,Low Fit
EMP101718,Intan Kurniawan,IT,HRBP,30.0,Low Fit
EMP100636,Rama Aji Wibowo,HR,Finance Officer,29.75,Low Fit
EMP100340,Rifqi Ginting,Marketing,Sales Supervisor,2.75,Low Fit
EMP100032,Galih Mahardika Purnama,R&D,Finance Officer,11.25,Low Fit
EMP100220,Rizka Adi Setiawan,R&D,Supply Planner,26.75,Low Fit
EMP100437,Indra Hartanto,Marketing,Supply Planner,2.5,Low Fit
EMP101753,Adi Tamba,Marketing,Brand Executive,1.5,Low Fit
EMP100219,Julia Kusuma Santoso,Operations,Sales Supervisor,37.0,Low Fit
EMP100714,Anisa Fadillah Mahendra,HR,Supply Planner,37.5,Low Fit
EMP101878,Teguh Herlambang,Operations,Finance Officer,29.25,Low Fit
EMP100015,Zahra Utama Setiawan,Marketing,Finance Officer,2.25,Low Fit
EMP100523,Indra Adi Hartanto,Finance,HRBP,40.75,Low Fit
EMP101232,Adi Rohman,R&D,HRBP,32.25,Low Fit
EMP101815,Valdo Setiawan,Finance,Brand Executive,44.5,Low Fit
EMP100949,Joko Saputra Ramadhan,HR,Brand Executive,47.25,Low Fit
EMP100252,Wulan Adi Mahendra,Operations,Supply Planner,34.0,Low Fit
EMP101765,Utami Erlangga Herlambang,Marketing,Supply Planner,0.25,Low Fit
EMP101483,Ayunda Iqbal Fauziah,Operations,Data Analyst,42.25,Low Fit
EMP101194,Prasetyo Candra Subekti,HR,HRBP,35.75,Low Fit
EMP100616,Nadia Ramadhan,HR,Finance Officer,31.25,Low Fit
EMP101508,Iman Zulfikar,R&D,Sales Supervisor,42.0,Low Fit
EMP101088,Rama Jatmiko Gunawan,Operations,Sales Supervisor,36.75,Low Fit
EMP101166,Utami Qolbi Halim,Finance,Finance Officer,37.75,Low Fit
EMP101638,Prasetyo Rachman Halim,Finance,Sales Supervisor,28.75,Low Fit
EMP101318,Nurlita Zulfikar Sinaga,R&D,Finance Officer,29.5,Low Fit
EMP100256,Maya Dharma Pamungkas,R&D,Data Analyst,31.0,Low Fit
EMP100879,Evi Mahendra,Operations,Brand Executive,33.75,Low Fit
EMP101822,Nadia Anugrah Lestari,IT,Data Analyst,33.25,Low Fit
EMP100897,Galih Saputra Siregar,IT,Sales Supervisor,32.75,Low Fit
EMP100205,Vania Adi Nugroho,HR,Finance Officer,43.25,Low Fit
EMP100773,Ayu Hidayat,HR,Finance Officer,40.5,Low Fit
EMP100817,Oka Handayani,R&D,Supply Planner,40.75,Low Fit
